canonical_smiles,standard_value,log_papp
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cc3cc(C)nc4ccccc34)cc2)C1,0.7,-0.1549019599857432
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cn3c(C(C)(C)C)nc4ccccc43)cc2)C1,0.4,-0.3979400086720376
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cn3c(C(C)C)nc4ccccc43)cc2)C1,0.1,-1.0
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,3.2,0.505149978319906
C#CCNC1=C(Cl)C(=O)c2ccccc2C1=O,29.4,1.4683473304121573
C#CCNC1=CC(=O)c2c(O)ccc(O)c2C1=O,43.3,1.6364878963533653
C#CCNC1=CC(=O)c2cccc(OC)c2C1=O,18.8,1.2741578492636798
C#CCNC1=CC(=O)c2cccc(OCC)c2C1=O,18.5,1.2671717284030137
C#CCNC1=CC(=O)c2cccc(OCc3ccccc3)c2C1=O,25.5,1.4065401804339552
C#CCNC1=CC(=O)c2ccccc2C1=O,20.8,1.3180633349627615
C#CCNCCCN1C(=O)S/C(=C/c2ccc([N+](=O)[O-])cc2)C1=O,7.09,0.8506462351830665
C#CCNCCCN1C(=O)S/C(=C\c2ccc(OCc3ccccc3)cc2)C1=O,9.63,0.9836262871245346
C#CCNCCCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,3.26,0.5132176000679389
C#CCNCCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,3.24,0.5105450102066121
C#CCNCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,2.78,0.4440447959180762
C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1,3.16,0.49968708261840383
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.4,-0.3979400086720376
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)nc1,14.0,1.146128035678238
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,31.0,1.4913616938342726
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(F)F)C[C@@H]34)c2)cn1,19.0,1.2787536009528289
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(CF)C[C@H]43)c2)cn1,18.0,1.255272505103306
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)c(C)c1,19.0,1.2787536009528289
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,11.0,1.0413926851582251
C#CCOc1ncc(F)c(OCC#C)n1,33.45,1.524396122103842
C#CCSC[C@H]1NC(=O)[C@H](Cc2ccc(OC(C)=O)c(OC(C)=O)c2)NC1=O,17.35,1.2392994791268925
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,14.0,1.146128035678238
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,36.0,1.5563025007672873
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,6.0,0.7781512503836436
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCc1ccccc1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,18.0,1.255272505103306
C#CCn1nnc2c(-c3nc(C)cs3)ncn2c1=O,3.68,0.5658478186735176
C#CCn1nnc2c(-c3nccs3)ncn2c1=O,3.18,0.5024271199844327
C#CCn1nnc2c(C(N)=O)ncn2c1=O,1.38,0.13987908640123647
C#Cc1ccc(-c2cc3c(c(-c4cnc(OC)c(NS(C)(=O)=O)c4)c2)CNC3=O)cn1,24.7,1.3926969532596658
C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,2.78,0.4440447959180762
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,27.360000000000003,1.4371160930480786
